index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
38,0301.045b.001,Yebamot 45b,יבמות דף מה עמוד ב,Ravina; Gazin,,,Offspring of unmarried and gentile; offspring of married and gentile,0301_07; 0301_08,Yose br Abin,1663,P4? P5?,,,1,,,,,
39,0301.045b.002,Yebamot 45b,יבמות דף מה עמוד ב,Sheshet; Gazin,,,Offspring of unmarried and gentile; offspring of married and gentile,0301_09; 0301_36,Yose b. Zabida,1684,P?,,,1,,,,,
40,0301.045b.003,Yebamot 45b,יבמות דף מה עמוד ב,Aha b. Rabbah; Ravina,,,Offspring of unmarried or gentile OR offspring of married and gentile,0301_10,Amemar,514,B6,,,1,,,,,
41,0301.046b.001,Yebamot 46b,יבמות דף מו עמוד ב,Rabbah; [Yosef; Safra],,,convert [male],0301_11,Hiyya b. Rabbi; Oshaya b. Rabbi;Oshaya b. Hiyya,hiyya_b_r;oshaya_b_r;246,P?,,,1,,,,,1
42,0301.064b.001,Yebamot 64b,יבמות דף סד עמוד ב,,,,Fourth sister having given birth,0301_13,Simeon b. Gamaliel,2852,T,1,,,,,,,
43,0301.064b.002,Yebamot 64b,יבמות דף סד עמוד ב,,,Ishaq b. Yosep; Abbaye,mother of newborns,0301_12,Yohanan,1570,P2,1,,,,,,,1
44,0301.065b.001,Yebamot 65b,יבמות דף סה עמוד ב,,,,Wife and husband,0301_14; 0301_15,be-midrasha,be_midrasha,P-uncertain,,,1,,,,,
45,0301.065b.002,Yebamot 65b,יבמות דף סה עמוד ב,Aha [Munich 95 Hiyya] b Hanina; Abbahu; Asi,,,Wife with no children from husband,0301_16,Yohanan,1570,P2,,,1,,,1,,1
46,0301.065b.003,Yebamot 65b,יבמות דף סה עמוד ב,,,,Wife with no children from husband,0301_17,Ami,495,P3? P4?,,,1,,,1,,
47,0301.065b.004,Yebamot 65b,יבמות דף סה עמוד ב,,,,Wife,0301_18,Nahman,2283,B5,,,1,,,1,,
48,0301.065b.005,Yebamot 65b,יבמות דף סה עמוד ב,,,,Judith wife of Hiyya--disguised,_1088,Hiyya,1088,P1,,,,,,1,1,
49,0301.075b.001,Yebamot 75b,יבמות דף עה עמוד ב,,,,anon-male,0301_19,Mar bar Rav Ashi,2156,B7,,,1,,,,,?
50,0301.075b.002,Yebamot 75b,יבמות דף עה עמוד ב,,,Pappi,anon-male,0301_20,Bibi b. Abbaye,602,B5,,,1,,,,,?
