index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
156,0306.035a.001,Gittin 35a,גיטין דף לה עמוד א,,Rab,,Widow,0306_11,Huna,895,B2,,,1,1,,,,
157,0306.035a.002,Gittin 35a,גיטין דף לה עמוד א,,Rab Huna?,,Widow,0306_12,Rabbah b. Rab Huna,2596,B3,,,1,1,,,,?
158,0306.037a.001,Gittin 37a,גיטין דף לז עמוד א,,,,Relation of Asi,535,Asi; Yohanan,535; 1570,P3;P2,1,,,1,,,1,
159,0306.037b.001,Gittin 37b,גיטין דף לז עמוד ב,,,,creditors,0306_13,Rab,2578,B2,1,,,1,,,,
160,0306.039b.001,Gittin 39b,גיטין דף לט עמוד ב,,Zeira; Nahman,Nahman b. Yishaq; Raba b. She`elta; Rabbis from Mahoza; Hiyya b. Abin,Slave woman; dying owner,0306_14; 0306_15,Nahman,2285,B3,,,1,1,,,,
161,0306.040a.001,Gittin 40a,גיטין דף מ עמוד א,,Amemar; Dimi,Rabbanan,Slaves,0306_16+,Rabina,2647,B6/7?,,,1,1,,,,
162,0306.040a.002,Gittin 40a,גיטין דף מ עמוד א,,,,[Yosef b. Raba on behalf of slave?],0306_17,Pappa,2518,B5,,,1,1,,,,
163,0306.045a.001,Gittin 45a,גיטין דף מה עמוד א,,,,escaped slave;owner,0306_18;0306_19,Ami,495,P3,,,1,1,,1,,
164,0306.046b.001,Gittin 46b,גיטין דף מו עמוד ב,,,Abba,Captives?,0306_20+,Huna,895,B2,,,,1,,,,
165,0306.046b.002,Gittin 46b,גיטין דף מו עמוד ב,,,Rabbanan,Sold himself to the games,0306_21,Ami,495,B3,,,1,1,,,,
166,0306.052a.001,Gittin 52a,גיטין דף נב עמוד א,,Mishnah; Hanilai; Shemuel,,caregiver?;Relations of orphans,0306_22;0306_23+,Nahman,2285,B3,,,,1,,,,1
167,0306.052a.002,Gittin 52a,גיטין דף נב עמוד א,,Hanilai; Shemuel,,Rabbana Uqba; orphans,2423;0306_24,Nahman,2285,B3,,,,1,,,1,1
168,0306.052b.001,Gittin 52b,גיטין דף נב עמוד ב,,Huna -Rab; Shela,,Amram Saba`a;relations of orphans,Amram_Sabaa; 0306_25,Nahman,2285,B3,,,,1,,,?,1
169,0306.054b.001,Gittin 54b,גיטין דף נב עמוד ב,,Yohanan/Yose,Assi,householder,0306_27,Ami,495,B3,,1,,,,,,1
170,0306.054b.001,Gittin 54b,גיטין דף נד עמוד ב,,Yohanan-Yose,Asi,buyer of pure goods.,0306_26,Ami,495,B3,,1,,,,1,,
171,0306.054b.002,Gittin 54b,גיטין דף נד עמוד ב,,,Yirmiya?,Scribe of Torah,0306_27,Ami,495,B3,,,,1,,1,,
172,0306.054b.003,Gittin 54b,גיטין דף נד עמוד ב,,,,Preparer of Torah scroll,0306_28,Abbahu,92,P3,,,,1,,1,,
173,0306.058b.001,Gittin 58b,גיטין דף נח עמוד ב,,,Huna b. Yehoshua,Giddal b. R/De`ila`i; landowners,Giddal_b_ Re`ila`I;0306_29,Pappa,2518,B5,,,,1,,1,?,
174,0306.060b.001,Gittin 60b,גיטין דף ס עמוד ב,,,,field owners,0306_30+,Abbaye,121,B4,,,,1,,,,
175,0306.073a.001,Gittin 73a,גיטין דף עג עמוד א,,,,Seller of land; [purchaser of land],0306_31;0306_32,Rabina; Raba,2647;2582,B6/7; B4,,,,1,,,,
176,0306.073a.003,Gittin 73a,גיטין דף עג עמוד א,,,,Pappa; Huna b. Yehoshua,2518;918,Raba,2582,B4,,,,1,,,1,
177,0306.077a.003,Gittin 77a,גיטין דף עז עמוד ב,,,Ilish,dying man,0306_33,Raba,2582,B4,1,,,1,,,,
178,0306.078b.001,Gittin 78b,גיטין דף עח עמוד ב,Mordechai-Ashi,,,divorcee/levirate widow,0306_34,Anon,99999,B-uncertain,,,1,,,,,
179,0306.082a.001,Gittin 82a,גיטין דף פב עמוד א,,,,[one preparing a divorce],0306_35,Ami [alit. Yohanan; Rosh: Yannai],495,B3,,,1,,,,,
180,0306.088a.001,Gittin 88a,גיטין דף פח עמוד א,,,Yirmiyah,who?,0306_36,Abbahu,92,P3,,,1,,,,,?
181,0307.008b.001,Qiddushin 8b,קידושין דף ח עמוד ב,,,,Sons of Huna bar Abin; seller,_899+;0307_01,Ami,495,P3?,,,,1,,,1,1
182,0307.031b.001,Qiddushin 31b,קידושין דף לא עמוד ב,,,Eleazar,Assi,535,Yohanan,1570,P2,,,,,,1,1,1
183,0307.045b.001,Qiddushin 45b,קידושין דף מה עמוד ב,,,Assi,betrothed minor,0307_03,Rab,2578,B1,1,,1,,,,,
184,0307.050a.001,Qiddushin 50a,קידושין דף נ עמוד א,Hiyya b. Abin,,,anon husband; anon wife,0307_11;0307_12,Hisda; Huna,1345; 895,B3; B2,,,,,,?,,
185,0307.052b.001,Qiddushin 52b,קידושין דף נב עמוד ב,,,,man who tossed coins,0307_04,Rava,2582,B4,,,1,,,,,1
186,0307.052b.002,Qiddushin 52b,קידושין דף נב עמוד ב,,,,tenant farmer,0307_05,Rava,2582,B4,,,1,1,,,,1
187,0307.052b.003,Qiddushin 52b,קידושין דף נב עמוד ב,,,,brewer,0307_06,Rava,2582,B4,,,1,1,,,,1
188,0307.065b.001,Qiddushin 65b,קידושין דף סה עמוד ב,,,,Mar Zutra b. Rab Mari b. Isur; Ada Sabba  b. Rab Mari b. Isur,2164;220,Ashi,571,B6,,,,,,,,
189,0307.066a.001,Qiddushin 66a,קידושין דף סו עמוד א,,,,Blind student,blind_student,Samuel,2763,B1,,,1,,,1,1,1
190,0307.070a.001,Qiddushin 70a,קידושין דף ע עמוד א,,,,man buying meat; Judah,0307_9;1394,Nahman,2285,B3,,,1,,,1,,
191,0307.076b.001,Qiddushin 76b,קידושין דף עו עמוד ב,,,,Host of Ada b.Ahaba; Bibi,_194;600,Yosef,1764,B3,,,1,,,,1,1
192,0307.079b.001,Qiddushin 79b,קידושין דף עט עמוד ב,,,Samuel; [Rab],Woman who betrothed herself and her father betrothed,0307_10,Yosef b. Menashia of Dewil,1776,B2,,,1,,,,,1
193,0401.012a.001,Bava Qamma 12a,בבא קמא דף יב עמוד א,,[Nahman?],,anon[BQ-1],B0401_1,Judges of Nehardea,20347,[B?],,,,1,,,,
194,0401.012a.002,Bava Qamma 12a,בבא קמא דף יב עמוד א,,[Nahman?],,anon[BQ-2],B0401_2,Hana b. Bizana,21004,B3,,,,1,,,,
195,0401.027b.001,Bava Qamma 27b,בבא קמא דף כז עמוד ב,,,,anon[BQ-3],B0401_3,Samuel,2763,B1,,,,1,,,,
196,0401.027b.002,Bava Qamma 27b,בבא קמא דף כז עמוד ב,,,,anon[BQ-4],B0401_4,Rava;Rabba,2581; 2582,[B2;B4],,,,1,,,,
197,0401.037a.001;0504.050b.001,Bava Qamma 37a; Bekhorot 50b,בבא קמא דף לז עמוד א,,,,Hanan Bisha; anon[BQ-5],Hanan Bisha; B0401_5,Huna,895,[B2/P3],,,,1,,,?,1
198,0401.058b.001,Bava Qamma 58b,בבא קמא דף נח עמוד ב,,,Nahman,anon[BQ-6]; anon[BQ-7],B0401_6; B0401_7,Resh Galuta; Nahman,2285; _Resh galuta,B3,,,,1,,,,1
199,0401.059b.001,Bava Qamma 59b,בבא קמא דף נט עמוד א,,,,anon[ovda],B0401_8,Pappa; Huna b. Joshua,2518; 918,B5,,,,1,,,,
200,0401.073a.001,Bava Qamma 73a,בבא קמא דף עג עמוד א,Yirmiyah of Difti,Rava,,anon[BQ-8],B0401_9,Pappa,2518,B5,,,,1,,,,
201,0401.084a.001,Bava Qamma 84a,בבא קמא דף פד עמוד א,,,Rava,anon[BQ-102],B0401_10; B0401_11,Pappa b. Samuel,2527,B4,,,,1,,,,
202,0401.084a.002,Bava Qamma 84a,בבא קמא דף פד עמוד א,,,,anon[BQ-; 103;ass driver]; anon[BQ-104; a child],B0401_12; B0401_13,Rava,2582,B4,,,,1,,,,
203,0401.088a.001,Bava Qamma 88a,בבא קמא דף פח עמוד ב,,,Rava; Hoshaya,Mother of Samuel b. Abba of Hagronya[??],_2769,Yirmiyah b. Abba,1954,B2,,,,1,,,1,1
204,0401.090b.001,Bava Qamma 90b,בבא קמא דף צ עמוד ב,,Yose ha-gelili,,anon[BQ-10],B0401_14,Judah Patriarch[L?],1508,L?,,,,1,,,,1
206,0401.096b.001,Bava Qamma 96b,בבא קמא דף צו עמוד ב,,,Rava,anon[BM-105;  thief]; anon[BM-106; owners],B0401_15; B0401_16+,Nahman,2285,B3,,,,1,,,,1
207,0401.098a.001,Bava Qamma 98a,בבא קמא דף צח עמוד א,,,,agardamis tayya,Agardamis Tayy`a,Pappa; Huna b. Joshua,2518; 918,B5,,,,1,,,?,
208,0401.098b.001,Bava Qamma 98b,בבא קמא דף צח עמוד ב,??,,,Ashi,571,Rafram[B6?],2690,B6?,,,,1,,,1,
209,0401.099b.001,Bava Qamma 99b,בבא קמא דף צט עמוד ב,Rabbah b. b. Hanah,,,anon[BQ-11],B0401_17,Yohanan,1570,P2,1,,,1,,,,
210,0401.099b.002,Bava Qamma 99b,בבא קמא דף צט עמוד ב,,baraita,Kahana[B2?]; Assi[B1?],anon[BQ-11;hagrama[?]],B0401_18,Rab,2578,B1,1,,,1,,,,
205,0401.103a.001,Bava Qamma 103a,בבא קמא דף קג עמוד א,,,,Kahana[B?],2004,Rab,2578,B1,,,,1,,,1,1
211,0401.112a.001,Bava Qamma 112a,בבא קמא דף קיב עמוד א,,[Abbahu quotes:] Jos.b. Hamma in n. Oshaya,Abbahu,Yirmiyah; son of father in law of Yirmiya,1952; _1952,Abin[P3?],139,P3?,,,,1,,,1,1
212,0401.115a.001,Bava Qamma 115a,בבא קמא דף קטו עמוד א,,Rab?,,Hanan Bisha; unspecified,Hanan Bisha; B0401_19,Huna,895,B2/P3,,,,1,,,?,1
213,0401.115a.002,Bava Qamma 115a,בבא קמא דף קטו עמוד א,,,[Kahan[B?]; this is stam],Abimi b. Nazi FIL of Ravina; anon[BQ-thief],133; B0401_20,Rabina[?],2647,B6/7?,,,,1,,,1,
214,0401.116b.001,Bava Qamma 116b,בבא קמא דף קטז עמוד ב,,Mishnah/baraita,[Joseph; huna b. Hiyya; Nahman],anon[BQ-14]; anon[BQ-15; thief]; wheat belonging to Resh Galuta,B0401_36; B0401_22; _Resh Galuta,Nahman,2285,B3,,,,1,,,?,1
215,0401.117a.001,Bava Qamma 117a,בבא קמא דף קיז עמוד א,,baraita,Rabbanan,Mari b. Pinhas b. Hisda[?]; anon[BQ-16]; gentiles,2189; B0401_21; B0401_22+,[Joseph; huna b. Hiyya; Nahman],571,B6,,,,1,,,1,
216,0401.117a.002,Bava Qamma 117a,בבא קמא דף קיז עמוד א,,,Kahana[B3; B4?],anon[BQ-17; owner]; anon[BQ-18],B0401_25; B0401_35,Rab,2578,B1,,,,1,,,,1
217,0401.117b.001,Bava Qamma 117b,בבא קמא דף קיז עמוד ב,,,Abbaye; Gloss by Ashi,depositary; thief; depositors,B0401_26; B0401_27; B0401_28,Rabbah,2581,B3,,,,1,,,,1
218,0401.117b.002,Bava Qamma 117b,בבא קמא דף קיז עמוד ב,,,[Joseph; Huna b. Hiyya; Nahman],Depositary; thief,B0401_29; B0401_30,Rabbah,2582,B4,,,,1,,1,?,1
219,0401.117b.003,Bava Qamma 117b,בבא קמא דף קיז עמוד ב,,,Abbaye,Ferry rider; ass owner.,B0401_30; B0401_31,Rabbah,2581,B3,,,,1,,1,,1
220,0402.007a.001,Bava Mesi`a 7a,בבא מציעא דף ז עמוד א,Hiyya b. Abin,Nahman,,anon[BM-1]; anon[BM-99],B0402_1; B0402_99,Hisda; Huna,1345; 895,B3; B2,1,,,1,,,1,
221,0402.014a.001,Bava Mesi`a 14a,בבא מציעא דף יד עמוד א,,,,Abuha b. Ihi,98,Samuel,2763,B1,,,,1,,,?,1
222,0402.016a.001,Bava Mesi`a 16a,בבא מציעא דף טז עמוד א,,,Joseph; Abaye,Buyer; victim of theft,B0402_3; B0402_4,[Pumbedita],20348,?,,,,1,,,,
223,0402.017a.001,Bava Mesi`a 17a,בבא מציעא דף יז עמוד א,,,,Shabetai b. R. Marinus,2711,Hiyya[P1?],1088,P1,,,1,1,,1,1,1
224,0402.018b.001,Bava Mesi`a 18b,בבא מציעא דף יח עמוד ב,,,,Parties to a divorce,B0402_100+,Rabbah,2581,B3,,,1,,,1,,
225,0402.023b.001,Bava Mesi`a 23b,בבא מציעא דף כג עמוד ב,,,,Jacob b. Abba,1840,Abbaye,121,B4,,,,1,,,1,1
226,0402.023b.002,Bava Mesi`a 23b,בבא מציעא דף כג עמוד ב,,,,anon[BM-5],B0402_4,Rab,2578,B1,,,,1,,,?,1
227,0402.024b.001,Bava Mesi`a 24b,בבא מציעא דף כד עמוד ב,,,,anon[BM-6],B0402_5,Judah[b. Yehezqel],1394,B2,,,,1,,,,1
228,0402.024b.002,Bava Mesi`a 24b,בבא מציעא דף כד עמוד ב,,,,anonymous finder; property of be bar Marion,B0402_8; be bar Marion,Abbaye,121,B4,,,,1,,,?,1
229,0402.024b.003,Bava Mesi`a 24b,בבא מציעא דף כד עמוד ב,,,,Ishaq Napaha,1885,Yohanan or be midrasha,1570/be Midrasha,P2,,,,1,,,1,
230,0402.024b.004,Bava Mesi`a 24b,בבא מציעא דף כד עמוד ב,,,,Ammi,534,Yohanan or Assi or be midrasha,1570/294/be Midrasha,P2; P3,1,,,?,,,1,1
231,0402.028b.001,Bava Mesi`a 28b,בבא מציעא דף כח עמוד ב,,,[Rabbah b. Huna],Father of R. Pappa,_2518,Rabba b. Huna,2596,B3,,,,1,,,1,1
232,0402.029b.001,Bava Mesi`a 29b,בבא מציעא דף כט עמוד ב,,,Judah[b. Yehezkel]  > Samuel --> Tarfon,Rahava,22946,Yosef,1764,B3,,,,1,,,?,1
233,0402.031b.001,Bava Mesi`a 31b,בבא מציעא דף לא עמוד ב,,,,Issur and Safra,Issur; 2398,Rabba b. Huna,2596,B3,,,,1,,,1,1
234,0402.035a.001,Bava Mesi`a 35a,בבא מציעא דף לה עמוד א,,,,anon[BM-7],B0402_6,Nahman,2285,B3,,,,1,,,,1
235,0402.036a.001,Bava Mesi`a 36a,בבא מציעא דף לו עמוד א,,Hisda,,anon[BM-8; gardeners],B0402_7+,Rab,2578,B1,,,,1,,,,
236,0402.038b.001,Bava Mesi`a 38b,בבא מציעא דף לח עמוד ב,,,Amram,anon[BM-9],B0402_8,Sheshet,2938,B3,,,,1,,,,
237,0402.039b.001,Bava Mesi`a 39b,בבא מציעא דף לט עמוד ב,,,,Mari b. Isaq; brother,2178; _2178,Hisda; Ammi,1345; 495,B3; [P3?],,,?,1,,,1,1
238,0402.042a.001,Bava Mesi`a 42a,בבא מציעא דף מב עמוד א,,,,anon[BM-depositary],B0402_12,Rava,2582,B4,,,,1,,,,1
239,0402.044b.001,Bava Mesi`a 44b,בבא מציעא דף מד עמוד ב,,,,Rab,2578,Hiyya,1088,P1,,,,1,,,1,1
240,0402.048b.001,Bava Mesi`a 48b,בבא מציעא דף מח עמוד ב,Raba,,,Hiyya b. Yosef; anon[BM-11],1113;B0402_10,Yohanan,1570,P2,,,,1,,,1,1
241,0402.049a.002,Bava Mesi`a 49a,בבא מציעא דף מט עמוד א,,,,Kahana,2004,Rab,2578,B1,,,,1,,,1,
242,0402.049a.003,Bava Mesi`a 49a,בבא מציעא דף מט עמוד א,,,Rabbanan,anon[BM-12],B0402_11,Rava,2582,B4,,,,1,,,,1
243,0402.049b.001,Bava Mesi`a 49b,בבא מציעא דף מט עמוד ב,Pappi; Ravina,Rabbanan; Rava,Ravina[who is also tradent?],Tavot; Samuel b. Zutra,1351/2784,Rava,2582,B4,,,,1,,,1,1
244,0402.049b.002,Bava Mesi`a 49b,בבא מציעא דף מט עמוד ב,,,,anonymus(*),B0402_15,Hisda,1345,B3,,,,1,,,,1
245,0402.051a.001,Bava Mesi`a 51a,בבא מציעא דף נא עמוד א,,,,landlord[?] of Rami b. Hama,_2681,Nahman,2285,B3,,,,1,,,1,1
246,0402.051a.002,Bava Mesi`a 51a,בבא מציעא דף נא עמוד א,,,,anon[BM-14],B0402_13,Rava,2582,B4,,,,1,,,,1
247,0402.051a.003,Bava Mesi`a 51a,בבא מציעא דף נא עמוד א,,Eleazar[P?],,anon[BM-15],B0402_14,Hisda,1345,B3,,,,1,,,,1
248,0402.066a.001,Bava Mesi`a 66a,בבא מציעא דף סו עמוד א,,,Judah[b. Yehezkel],house of the exilarch,_Resh Galuta,Nahman,2285,B2; B3,,,,1,,,?,
249,0402.067a.001,Bava Mesi`a 67a,בבא מציעא דף סז עמוד א,Pappi,[Rabba b Huna],,anon[ovda],B0402_18,Ravina[B6/7?],2647,B6/7?,,,,1,,,,
250,0402.067a.002,Bava Mesi`a 67a,בבא מציעא דף סז עמוד א,,,,anon[BM-17; orphana],B0402_16+,Ashi,571,B6,,,,1,,,,
252,0402.069a.001,Bava Mesi`a 69a,בבא מציעא דף סט עמוד א,,[M],,Menashya b. Gada,2140,Abbaye,121,B4,,,,1,,,1,1
251,0402.069a.002,Bava Mesi`a 69a,בבא מציעא דף סט עמוד א,,,,Samaritans,Samaritans+,Pappa[B5?],2518,B5,,,,1,,,,1
253,0402.074b.001,Bava Mesi`a 74b,בבא מציעא דף עד עמוד ב,,,Rabbanan,anon[BM-18],B0402_20,Pappa[B5?],2518,B5?],,,1,1,,,,1
254,0402.081a.001,Bava Mesi`a 81a,בבא מציעא דף פא עמוד א,,,Rabbanan,anon[BM-19; alkaline sellers],B0402_21+,Pappa[B5?],2518,B5,,,,1,,,,1
255,0402.081a.002,Bava Mesi`a 81a,בבא מציעא דף פא עמוד א,,,,anon[BM-20; seller]; anon[BM-21; purchaser],B0402_22; B0402_23,Nahman,2285,B3,,,,1,,,,1
256,0402.081b.001,Bava Mesi`a 81b,בבא מציעא דף פא עמוד ב,,,Rabbanan,anon[BM-22; 23],B0402_24+,Rava,2582,B4,,,,1,,,,1
257,0402.083a.001,Bava Mesi`a 83a,בבא מציעא דף פג עמוד א,,,Joseph b. Rava,anon[BM-24],B0402_25,Rava,2582,B4,,,,1,,,,
258,0402.083a.002,Bava Mesi`a 83a,בבא מציעא דף פג עמוד א,,,Joseph b. Rava,anon[BM-25],B0402_26,Rava,2582,B4,,,,1,,,,
259,0402.093a.001,Bava Mesi`a 93a,בבא מציעא דף צג עמוד א,,,Abbaye,anon[BM-26; shepher],B0402_27,Rabbah,2581,B3,,,,1,,,,1
260,0402.093b.001,Bava Mesi`a 93b,בבא מציעא דף צג עמוד ב,,,,Bar Adda Sebola`a,Bar Adda Sebola`a,Pappa[B5?],2518,B5?,,,,1,,,?,1
261,0402.093b.002,Bava Mesi`a 93b,בבא מציעא דף צג עמוד ב,,,,Aybo[?]; be-Ronia[?],334; _2665,Nahman,2285,B3,,,,1,,,1,1
262,0402.096b.001,Bava Mesi`a 96b,בבא מציעא דף צו עמוד ב,,,,anon[BM-28],B0402_28,Rava,2582,B4,,,,1,,,,1
263,0402.096b.002,Bava Mesi`a 96b,בבא מציעא דף צו עמוד ב,,[Kahana; Assi],Kahana[B2?]; Assi[B1?],anon[BM-29],B0402_29,Rab,2578,B1,,,,1,,,,1
264,0402.097a.002,Bava Mesi`a 97a,בבא מציעא דף צז עמוד א,,,Rabbanan,Maremar b. Hanina[B6?]; be Hoza`e,2199; be Hoza`e,Rava,2582,B4,,,,1,,,1,1
265,0402.097b.001,Bava Mesi`a 97b,בבא מציעא דף צז עמוד א,,,,anon[BM-Borrower of item],B0402_30,Pappa[B5?],2518,B5,,,,1,,,,1
266,0402.101a.001,Bava Mesi`a 101a,בבא מציעא דף קא עמוד א,,,,anon[BM-30],B0402_31,Rab,2578,B1,,,,1,,,,
267,0402.106b.001,Bava Mesi`a 106b,בבא מציעא דף קו עמוד ב,,,Rabbanan,anon[BM-31],B0402_32,Rava,2582,B4,,,,1,,,,1
268,0402.109a.001,Bava Mesi`a 109a,בבא מציעא דף קט עמוד א,,,,Ronya the planter of Ravina,_2647,Rava,2582,B4,,,,1,,,1,
269,0402.109b.001,Bava Mesi`a 109b,בבא מציעא דף קט עמוד ב,,,Rava,anon[BM-32; planter],B0402_33,Pappa b. Samuel,2527,B4,,,,1,,,,
270,0402.116a.001,Bava Mesi`a 116a,בבא מציעא דף קטז עמוד א,,,[Rava?],anon[BM-33],B0402_34,Abbaye,121,B4,,,,1,,,,
271,0403.005a.001,Bava Batra 5a,בבא בתרא דף ה עמוד א,,Huna; Yose,,Ronya; Ravina[B6/7?],_2647; 2647,Raba,2582,B4,,,,1,,,1,1
272,0403.006a.001,Bava Batra 6a,בבא בתרא דף ו עמוד א,,,,anon[BB-1; ovda],B0403_1,Joseph[b.Hiyya],1764,B3,,,,1,,,,
273,0403.008a.001,Bava Batra 8a,בבא בתרא דף ח עמוד א,,,,Rabbanan; anon[BB-2; Tiberians],rabbanan;B0403_2+,Rabbi[L;P1;P4?],1508,[L;P1;P4],,,,1,,1,1,1
274,0403.009a.001,Bava Batra 9a,בבא בתרא דף ט עמוד א,,,Yemar b. Shelamia objected to Rava; Pappa,anon[BB-3; butchers],B0403_3+,Rava,2582,B4,,,,1,,,,
275,0403.013b.001,Bava Batra 13b,בבא בתרא דף יג עמוד ב,,,,Rabin b. Hinnena[B3?]; Dimi b. Hinnena[B3?],149; 871,Rava,2582,B4,,,,1,,,1,1
276,0403.022a.001,Bava Batra 22a,בבא בתרא דף כב עמוד א,,,,anon[BB-4; basket sellers]; anon[BB-5; people of the place],diqula`e[basket sellers?]; people of the place,Ravina[B6/7?],2647,B6/7?,,,,1,,,,1
277,0403.022a.002,Bava Batra 22a,בבא בתרא דף כב עמוד א,,,,anon[BB-6; ‘amra’e]; anon[BB-7; people of the place],Wool sellers+; people of Pum Nehara+,Kahana [de Pum Nehara][B3; B4],2004,B3; B4,,,,1,,,,1
278,0403.022a.003,Bava Batra 22a,בבא בתרא דף כב עמוד א,,,Claiming responsibility for Ada b. Abba`s death: Yosef; Dimi; Rava; Abbaye; Nahman b. Isaac,Rab Dimi of Nehardea; Rava; Ada b. Abba,881; 2582; 194,Joseph[b.Hiyya],1764,B3,,,,1,,,1,1
279,0403.025b.001,Bava Batra 25b,בבא בתרא דף כה עמוד ב,,Kahana,,Pappi Yona`a; anon[BB-8;Sesame grinders],Pappi Yokna`a; B0403_8+,Ashi,571,B6,,,,1,,,?,1
280,0403.026a.001,Bava Batra 26a,בבא בתרא דף כו עמוד א,,,[see comments; Mar b. Ashi; Maremar],those of the house of Marion b. Rabin; Flax grinders,house of Marion br Rabin+; B0403_9+,Ravina,2647,B6/7?,,,,1,,,1,1
281,0403.029b.001,Bava Batra 29b,בבא בתרא דף כט עמוד ב,,,,Rami b. Hama and Uqba b. Hama; and an external claimant,2681; 2429; B0403_10,Rava,2582,B4,,,1,1,,,1,1
282,0403.029b.002; 0403.159b.002,Bava Batra 29b; Bava Batra 159b,בבא בתרא דף כט עמוד ב,,,Rava,generic claimants(2),B0403_11+,Nahman,2285,B3,,,,1,,,,
283,0403.030a.001; 0403.159b.001,Bava Batra 30a; Bava Batra 159b,בבא בתרא דף ל עמוד א,,,Rava,anon[BB-12;plaintifs(2)],B0403_12+,Nahman,2285,B3,,,,1,,,,
284,0403.031b.001,Bava Batra 31b,בבא בתרא דף לא עמוד ב,,??,Hamnuna; Menahem b. Yose,anon[BB-13],B0403_99,Nahman,2285,B3,,,,,,,,
285,0403.033b.001; 0406.032b.001,Bava Batra 33b; Shevu`ot 32b,בבא בתרא דף לג עמוד ב,,,Abba,anon litigant 1;anon litigant 2;Witness,0406_03;0406_04;0406_05,Ammi,495,P4,,,,1,,,,
286,0403.040b.001,Bava Batra 40b,בבא בתרא דף מ עמוד ב,Pappa,,,anon[BB-16];anon[BB-17; witnesses],B0403_16+; B0403_17+,Rava,2582,B4,,,1,1,,,,1
287,0403.041a.001,Bava Batra 41a,בבא בתרא דף מא עמוד א,,Judah; Ishmael,,Anan; anon[BB-18; neighbor],2453; B0403_18,Nahman,2285,B3,,,,1,,,1,1
289,0403.041b.001,Bava Batra 41b,בבא בתרא דף מא עמוד ב,,,Rab,anonymous(2),B0403_54+,Hiyya,1088,P1,,,,1,,,,
288,0403.041b.002,Bava Batra 41b,בבא בתרא דף מא עמוד ב,,Simeon b. Eleazar,,Kahana[B3; B4]; anon[BB-19; neighbor]; anon[BB-20; witnesses],2004; B0403_19; B0403_20+,Judah[b. Yehezqel],1394,B2,,,,1,,,,
290,0403.051b.001,Bava Batra 51b,בבא בתרא דף נא עמוד ב,,Eleazar,Uqba b. d. of Rab; Nehemia b. d. of Rab,anonymous[Husband and wife?],B0403_53+,Hisda,1345,B3,,,1,1,,,,
291,0403.052a.001,Bava Batra 52a,בבא בתרא דף נב עמוד א,,,,[Wife of] Rabbah b. b. Hanah; Rabah b. bar Hanan; Marta etc (3rd party),_2594; 2544; Marta and granddaughters,Rab,2578,B1,,,,1,,,1,1
292,0403.052a.002,Bava Batra 52a,בבא בתרא דף נב עמוד א,Uqba b. d. of Rab[B?];Nehemia b. d. of Rab[B?],Rava,,anonymous,B0403_107,Pappi,2518,B5,,,?,1,,,,
293,0403.054a.001,Bava Batra 54a,בבא בתרא דף נד עמוד א,,,,anon[BB-24; Woman]; anon[BB-25; man],B0403_24; B0403_25,Levi OR Mar Uqba,2032/2423,[P1/B2],,,,1,,,,1
294,0403.054b.001,Bava Batra 54b,בבא בתרא דף נד עמוד ב,,Abaye  and Rab Yoseph ,,anon[BB; one who bought from gentile]; anon[BB; an Israelite who plowed in field],B0403_108; B0403_109,Judah[b. Yehezqel],1394,B2,,,,1,,1,,1
295,0403.054b.002,Bava Batra 54b,בבא בתרא דף נד עמוד ב,,Samuel; Huna b. Rab,,Huna; another Israelite (Venice; Pesaro; Munich; Hamburg); hahu gavra (Paris; Escorial; Vatican115b),895; B0403_48,Nahman,2285,B3,,,,1,,,1,1
296,0403.058a.001,Bava Batra 58a,בבא בתרא דף נח עמוד א,,,,anon[BB-28; heirs; 3],B0403_28+,Bena`ah,687,P1,,,,1,,,,1
297,0403.058a.002,Bava Batra 58a,בבא בתרא דף נח עמוד א,,,,anon[BB-29; heirs; 10],B0403_29+,Bena`ah,687,P1,,,,1,,,,1
298,0403.059a.001,Bava Batra 59a,בבא בתרא דף נט עמוד א,,Ila`a,,anon[BB-30],B0403_30,Ammi; Abba b. Mamal,495; 47,P3,,,,1,,,,
299,0403.060a.001,Bava Batra 60a,בבא בתרא דף ס עמוד א,,,,anon[BB-31;Owner of house]; anon[BB-32; people in public domain],B0403_31; B0403_32+,Ammi,495,P4,,,,1,,,?,1
300,0403.060a.002,Bava Batra 60a,בבא בתרא דף ס עמוד א,,,,anon[BB-33;Owner of tree]; anon[BB-34; people in public domain],B0403_33; B0403_34+,Yannai,1814,P1,,,,1,,,,1
301,0403.082b.001[m. Kil. 4:9],Bava Batra 82b[m. Kil. 4:9],בבא בתרא דף פב עמוד ב,Abaye  and Rab Yoseph ,,,anon[BB-35; from Salmon],B0403_35,Sages,0,T,1,,,,,,,
302,0403.082b.002,Bava Batra 82b,בבא בתרא דף פב עמוד ב,Abaye  and Rab Yoseph ,,,anon[BB-36],B0403_36,Judah[b. Yehezqel],1394,B2,,,,1,,,,
303,0403.088a.001,Bava Batra 88a,בבא בתרא דף פח עמוד א,,,,anon[BB-37]; anon[BB-38]; butcher]; anon[BB-39; thief],B0403_37; B0403_38; B0403_39,Yemar,1804,B6,,,,1,,,,1
