Source,Target,Type,Id,sortable,partyname,judgename,judgegen_composite,judgegen,judgegeog,rabb. actor
0406_07,2285,Directed,1878,0406.047b.001,Anon litigant,Nahman,B3,3,B,N
0406_06,2285,Directed,1877,0406.047b.001,Anon litigant,Nahman,B3,3,B,N
_895,2285,Directed,1868,0406.030b.001,Wife of Huna,Nahman,B3,3,B,Y
2415,2285,Directed,1866,0406.030a.001,Ulla b. Ila'I,Nahman,B3,3,B,Y
0307_9,2285,Directed,1861,0307.070a.001,man buying meat,Nahman,B3,3,B,N
0202_04,2285,Directed,1833,0202.025a.001,a woman,Nahman,B3,3,B,N
be_resh_galuta,2285,Directed,1831,0202.011b.001,be-resh-galuta,Nahman,B3,3,B,X
B0404_03,2285,Directed,1827,0404.031a.002,anon (child),Nahman,B3,3,B,N
qab_rashu,2285,Directed,1822,0404.029b.002,"""Qab Rashu""",Nahman,B3,3,B,X
rabbanan_de_be_resh_galuta,2285,Directed,1815,0206.031a.001,rabbanan of resh galuta,Nahman,B3,3,B,Y
resh_galuta,2285,Directed,1814,0206.031a.001,resh galuta,Nahman,B4,4,B,Y
B0206_01,2285,Directed,1813,0206.031a.001,woman;,Nahman,B4,4,B,Y
2364,2285,Directed,1803,0303.022b.003,Sehora,Nahman,B3,3,B,Y
sorba_derabbanan_01,2285,Directed,1760,0211.016b.001,rabbinic disciple,Nahman,B3,3,B,Y
B0211_01,2285,Directed,1759,0211.016b.001,Woman,Nahman,B4,4,B,Y
_770,2285,Directed,1742,0302.091a.001,heirs of wives of bar Sarsur,Nahman,B3,3,B,X
_1344,2285,Directed,1738,0302.085b.002,heirs of Hasa[B3],Nahman,B3,3,B,Y
B0302_53,2285,Directed,1737,0302.085b.002,Depositor,Nahman,B3,3,B,Y
B0302_48,2285,Directed,1731,0302.085a.003,Anon[Ket32_woman],Nahman,B3,3,B,N
B0302_45+,2285,Directed,1726,0302.084b.001,creditors,Nahman,B4,4,B,N
B0302_44+,2285,Directed,1725,0302.084b.001,Orphans,Nahman,B4,4,B,N
B0302_43,2285,Directed,1724,0302.084b.001,Herdsman,Nahman,B4,4,B,N
B0302_39,2285,Directed,1713,0302.078b.001,daughter,Nahman,B4,4,B,N
B0302_38,2285,Directed,1712,0302.078b.001,widow,Nahman,B4,4,B,N
B0302_34,2285,Directed,1704,0302.060b.003,Anon[Ket24_old woman],Nahman,B3,3,B,N
B0302_28,2285,Directed,1691,0302.054a.001,anon[Ket21-widow],Nahman,B3,3,B,N
B0302_1,2285,Directed,1661,0302.010a.001,Anon[ket1],Nahman,B3,3,B,N
0301_18,2285,Directed,1634,0301.065b.004,Wife,Nahman,B3,3,B,N
_1362,2285,Directed,1610,0503.132b.001,Landlord[x] of Tabla[B3],Nahman,B3,3,B,Y
0306_25,2285,Directed,1551,0306.052b.001,relations of orphans,Nahman,B3,3,B,X
Amram_Sabaa,2285,Directed,1550,0306.052b.001,Amram Saba'a,Nahman,B3,3,B,X
0306_24,2285,Directed,1549,0306.052a.002,orphans,Nahman,B3,3,B,Y
2423,2285,Directed,1548,0306.052a.002,Rabbana Uqba,Nahman,B3,3,B,Y
0306_23+,2285,Directed,1547,0306.052a.001,Relations of orphans,Nahman,B3,3,B,N
0306_22,2285,Directed,1546,0306.052a.001,caregiverx,Nahman,B3,3,B,N
0306_15,2285,Directed,1539,0306.039b.001,dying owner,Nahman,B3,3,B,N
0306_14,2285,Directed,1537,0306.039b.001,Slave woman,Nahman,B3,3,B,N
0306_02+,2285,Directed,1523,0306.014a.001,gardeners (others),Nahman,B3,3,B,N
0306_01,2285,Directed,1522,0306.014a.001,Gardeners (1),Nahman,B3,3,B,N
B0401_22,2285,Directed,1475,0401.116b.001,Anon[BQ-15; thief],Nahman,B3,3,B,X
B0401_36,2285,Directed,1474,0401.116b.001,Anon[BQ-14],Nahman,B3,3,B,X
B0401_16+,2285,Directed,1463,0401.096b.001,anon[BM-106; owners],Nahman,B3,3,B,N
B0401_15,2285,Directed,1462,0401.096b.001,anon[BM-105;  thief];,Nahman,B3,3,B,N
B0401_7,2285,Directed,1450,0401.058b.001,Anon[BQ-7],Nahman,B3,3,B,N
B0401_6,2285,Directed,1449,0401.058b.001,Anon[BQ-6],Nahman,B3,3,B,N
_2665,2285,Directed,1431,0402.093b.002,be-Ronia[x],Nahman,B3,3,B,Y
B0402_23,2285,Directed,1423,0402.081a.002,Anon[BM-21; purchaser],Nahman,B3,3,B,N
B0402_22,2285,Directed,1422,0402.081a.002,Anon[BM-20; seller],Nahman,B3,3,B,N
_Resh_Galuta,2285,Directed,1416,0402.066a.001,house of the exilarch,Nahman,B3,3,B,X
_2681,2285,Directed,1413,0402.051a.001,landlord[x] of Rami b. Hama[B4],Nahman,B3,3,B,Y
B0402_6,2285,Directed,1398,0402.035a.001,Anon[BM-7],Nahman,B3,3,B,N
B0403_71,2285,Directed,1373,0403.169b.001,the agent,Nahman,B3,3,B,N
B0403_70,2285,Directed,1372,0403.169b.001,Woman who gave funds,Nahman,B3,3,B,N
Anon[BM-4],2285,Directed,1351,0403.153a.002,Anon,Nahman,B3,3,B,N
_873,2285,Directed,1347,0403.151a.006,mother of Dimi b. Yosef,Nahman,B3,3,B,Y
_1364,2285,Directed,1344,0403.151a.005,Mother of Tobi b. Mattena[B3],Nahman,B3,3,B,Y
2448,2285,Directed,1343,0403.151a.004,Amram Hasida[B3x],Nahman,B3,3,B,Y
2681,2285,Directed,1340,0403.151a.002,Rami b. Hama[B4],Nahman,B3,3,B,Y
2429,2285,Directed,1339,0403.151a.002,Uqba b. Hama[B4],Nahman,B4,4,B,Y
B0403_48,2285,Directed,1302,0403.054b.002,another Israelite,Nahman,B3,3,B,Y
B0403_18,2285,Directed,1287,0403.041a.001,anon[BB-18; neighbor],Nahman,B3,3,B,Y
2453,2285,Directed,1286,0403.041a.001,Anan[B2],Nahman,B3,3,B,Y
B0403_99,2285,Directed,1280,0403.031b.001,anon[BB-13],Nahman,B3,3,B,N
B0403_12+,2285,Directed,1279,0403.030a.001; 0403.159b.001,Anon[BB-12;plaintifs(2)],Nahman,B3,3,B,N
B0403_11+,2285,Directed,1278,0403.029b.002; 0403.159b.002,generic claimants(2),Nahman,B3,3,B,N
2341,2582,Directed,1767,0211.020a.002,Natan b. Ami,Raba,B4,4,B,Y
2398,2596,Directed,1397,0402.031b.001,Safra[B3],Rabba b. Huna,B3,3,B,Y
2398,2582,Directed,1334,0403.144a.001,Safra[B3],Raba,B4,4,B,Y
2429,2938,Directed,1341,0403.151a.002,Uqba b. Hama[B4],Sheshet,B3,3,B,Y
2429,2582,Directed,1276,0403.029b.001,Uqba b. Hama[B4],Raba,B4,4,B,Y
_770,2445,Directed,1743,0302.091a.001,heirs of wives of bar Sarsur,Amram,B2,2,B,X
2518,2582,Directed,1562,0306.073a.003,Pappa,Raba,B4,4,B,Y
2579,2518,Directed,1869,0406.030b.002,Rab b. Shaba*,Pappa,B5,5,B,Y
zibud,2518,Directed,1846,0203.113b.001,Zibud,Pappa,B5,5,B,X
tobiah,2518,Directed,1845,0203.113b.001,Tobiah,Pappa,B5,5,B,X
B0505_wife_2,2518,Directed,1838,0505.023b.001,wife,Pappa,B5,5,B,N
B0505_husband_1,2518,Directed,1837,0505.023b.001,husband,Pappa,B5,5,B,N
2676,2518,Directed,1758,0210.026b.002,Rami b. Abba,Pappa,B5,5,B,Y
B0302_33,2518,Directed,1703,0302.060b.002,Anon[Ket23],Pappa,B5,5,B,N
0301_24,2518,Directed,1642,0301.101b.001,Anon,Pappa,B5,5,B,X
0301_22,2518,Directed,1639,0301.91b.001,Anon,Pappa,B5,5,B,N
0306_29,2518,Directed,1556,0306.058b.001,landowners,Pappa,B5,5,B,X
Giddal_b_Re'ila'I,2518,Directed,1555,0306.058b.001,Giddal b. R/De'ila'i,Pappa,B5,5,B,X
0306_17,2518,Directed,1541,0306.040a.002,[Yosef b. Raba on behalf of slavex],Pappa,B5,5,B,N
0207_01,2518,Directed,1493,0207.004a.002,Anon,Pappa,B5,5,B,Y
_2518,2518,Directed,1492,0207.004a.002,Host of Pappa,Pappa,B5,5,B,Y
agardamis_tayya,2518,Directed,1465,0401.098a.001,Agardamis Tayy'a,Pappa,B5,5,B,X
B0401_9,2518,Directed,1455,0401.073a.001,Anon[BQ-8],Pappa,B5,5,B,N
B0401_8,2518,Directed,1454,0401.059b.001,anon[ovda],Pappa,B5,5,B,N
B0402_30,2518,Directed,1434,0402.097b.001,Anon[BM-Borrower of item],Pappa,B5,5,B,N
Bar_Adda_Sebola'a,2518,Directed,1429,0402.093b.001,Bar Adda Sebola'a,Pappa,B5,5,B,X
B0402_21+,2518,Directed,1424,0402.081a.001,Anon[BM-19; alkaline sellers],Pappa,B5,5,B,N
B0402_20,2518,Directed,1421,0402.074b.001,Anon[BM-18],Pappa,B5,5,B,N
Samaritans+,2518,Directed,1420,0402.069.002,Samaritans[!],Pappa,B5,5,B,N
B0401_11,2527,Directed,1457,0401.084a.001,child,Pappa b. Samuel,B4,4,B,N
B0401_10,2527,Directed,1456,0401.084a.001,ass driver,Pappa b. Samuel,B4,4,B,N
B0402_33,2527,Directed,1440,0402.109b.001,Anon[BM-32; planter],Pappa b. Samuel,B4,4,B,N
B0404_11,2533,Directed,1820,0404.027a.001,anon,Pappi,B5,5,B,N
B0403_107,2533,Directed,1293,0403.052a.002,anonymous,Pappi,B5,5,B,N
2546,10100,Directed,1504,0504.036a.001,Zadoq,Joshua,T,0,P,Y
0307_03,2578,Directed,1850,0307.045b.001,betrothed minor,Rab,B1,1,B,N
0202_01,2578,Directed,1829,0202.006a.001,anon,Rab,B1,1,B,N
B0404_12,2578,Directed,1821,0404.029b.001,anon,Rab,B1,1,B,N
0303_02,2578,Directed,1794,0303.020b.002,Anon,Rab,B1,1,B,N
0301_03,2578,Directed,1615,0301.039b.001,Yebamahx,Rab,B1,1,B,N
0301_02,2578,Directed,1614,0301.039b.001,Yabam,Rab,B1,1,B,N
B0503-14,2578,Directed,1587,0503.053.001,anon(animal owner),Rab,B1,1,B,N
B0503-05,2578,Directed,1576,0503.044b.001,anon(slaughtererx Owner of animalx),Rab,B1,1,B,N
0306_13,2578,Directed,1536,0306.037b.001,creditors,Rab,B2,2,B,N
B0401_35,2578,Directed,1480,0401.117a.002,Anon[BQ-18],Rab,B1,1,B,N
B0401_25,2578,Directed,1479,0401.117a.002,Anon[BQ-17; owner],Rab,B1,1,B,N
B0401_18,2578,Directed,1468,0401.099b.002,Anon[BQ-11;hagrama[x]],Rab,B1,1,B,N
B0402_31,2578,Directed,1437,0402.101a.001,Anon[BM-30],Rab,B1,1,B,N
B0402_29,2578,Directed,1433,0402.096b.002,Anon[BM-29],Rab,B1,1,B,N
B0402_7+,2578,Directed,1399,0402.036a.001,Anon[BM-8; gardeners],Rab,B1,1,B,N
B0402_4,2578,Directed,1388,0402.023b.002,Anon[BM-5],Rab,B1,1,B,X
Marta_and_granddaughters,2578,Directed,1296,0403.052a.001,Marta etc (3rd party),Rab,B1,1,B,Y
2594,2578,Directed,1295,0403.052a.001,Rabah b. bar Hanan[B3],Rab,B1,1,B,N
_2594,2578,Directed,1294,0403.052a.001,[Wife of] Rabbah b. b. Hanah[B3],Rab,B1,1,B,N
B0503-04,2581,Directed,1574,0503.043b.001,anon(slaughtererx Ownder of animalx),Rabbah,B3,3,B,N
0306_07,2581,Directed,1528,0306.027a.001,finderx,Rabbah,B3,3,B,N
B0401_31,2581,Directed,1490,0401.117b.003,ass owner,Rabbah,B3,3,B,N
B0401_30,2581,Directed,1489,0401.117b.003,Ferry rider,Rabbah,B3,3,B,N
B0401_28,2581,Directed,1486,0401.117b.001,depositary; thief; depositors,Rabbah,B3,3,B,N
B0401_27,2581,Directed,1485,0401.117b.001,depositary; thief; depositors,Rabbah,B3,3,B,N
B0401_26,2581,Directed,1484,0401.117b.001,depositary; thief; depositors,Rabbah,B3,3,B,N
B0401_4,2581,Directed,1445,0401.027b.002,Anon[BQ-4],Raba*,Bx,X,B,N
B0402_27,2581,Directed,1428,0402.093a.001,Anon[BM-26; shepher],Rabbah,B3,3,B,N
B0402_100+,2581,Directed,1386,0402.018b.001,Parties to a divorce,Rabbah,B3,3,B,N
0201_01,2582,Directed,1880,0201.134a.001,Father of new baby,Raba,B4,4,B,N
0307_06,2582,Directed,1857,0307.052b.003,brewer,Raba,B4,4,B,N
0307_05,2582,Directed,1856,0307.052b.002,tenant farmer,Raba,B4,4,B,N
0307_04,2582,Directed,1855,0307.052b.001,man who tossed coins,Raba,B4,4,B,N
0303_09,2582,Directed,1805,0303.025a.001,Anon woman,Raba,B4,4,B,N
0607_07,2582,Directed,1782,0607.042c.001,Father of new child,Raba,B4,4,B,N
B0302_62+,2582,Directed,1749,0302.098a.001,Anon[Ket41_heirs],Raba,B4,4,B,N
B0302_61,2582,Directed,1748,0302.098a.001,Anon[Ket40_widow],Raba,B4,4,B,N
B0302_49,2582,Directed,1732,0302.085a.004,Anon[Ket33_woman],Raba,B4,4,B,N
B0302_42,2582,Directed,1716,0302.080b.001,Anon[Ket31_wife],Raba,B4,4,B,N
_121,2582,Directed,1707,0302.065a.001,Wife of Abbaye[B4],Raba,B4,4,B,Y
B0302_25,2582,Directed,1687,0302.051a.001,anon[Ket21-orphan],Raba,B4,4,B,N
B0302_24,2582,Directed,1686,0302.051a.001,anon[Ket20-orphan],Raba,B4,4,B,N
B0302_19+,2582,Directed,1680,0302.049b.003,Anon[Ket16] (plural),Raba,B4,4,B,N
B0302_15,2582,Directed,1677,0302.027b.002,anon[Ket-100; woman],Raba,B4,4,B,N
B0302_14,2582,Directed,1676,0302.027b.002,Anon[Ket-99; betrothed man],Raba,B4,4,B,N
B0302_13,2582,Directed,1674,0302.027b.001,Anon[Ket12],Raba,B4,4,B,N
B0404_08,2582,Directed,1658,0203.025b;0205.082b.001;0404.074a.001,Anon,Raba*,B4,4,B,N
0301_33,2582,Directed,1653,0301.112a.001,widow,Raba,B4,4,B,N
0301_32,2582,Directed,1652,0301.112a.001,Levir,Raba,B4,4,B,N
0301_06,2582,Directed,1619,0301.045a.003,Child of gentile man,Raba,B4,4,B,N
0503_17,2582,Directed,1596,0503.077a.001,Anon owner of slaughtered animal,Raba,B4,4,B,N
B0503-16,2582,Directed,1592,0503.057a.001,anon[Hul-99],Raba,B4,4,B,N
B0503-12,2582,Directed,1585,0503.049b.002,anon,Raba,B4,4,B,X
B0503-11,2582,Directed,1584,0503.049b.001,anon(slaughterer or animal owner),Raba,B4,4,B,N
_21222,2582,Directed,1575,0503.043b.003,Sons of Uqba[Bx],Raba,B4,4,B,Y
B0503-02,2582,Directed,1569,0503.018a.001,anon(slaughterer),Raba,B4,4,B,N
0306_33,2582,Directed,1564,0306.077a.003,dying man,Raba,B4,4,B,N
0306_32,2582,Directed,1559,0306.073a.001,[purchaser of land],Raba,B4,4,B,N
0306_31,2582,Directed,1558,0306.073a.001,Seller of land,Raba,B4,4,B,N
0306_08,2582,Directed,1529,0306.029b.001,Agent of husband,Raba,B4,4,B,N
0504_01,2582,Directed,1501,0504.003b.001,Woman convert,Raba,B4,4,B,N
0207_05,2582,Directed,1498,0207.27b.001,Owner of firstling,Raba,B4,4,B,N
_2602,2582,Directed,1497,0207.012b.002,Host of Raba b. Hanan,Raba,B4,4,B,Y
B0401_30,2582,Directed,1488,0401.117b.002,Depositary,Raba,B4,4,B,X
B0401_29,2582,Directed,1487,0401.117b.002,Depositary; thief,Raba,B4,4,B,X
B0401_13,2582,Directed,1459,0401.084a.002,Anon[BQ-104; a child],Raba,B4,4,B,N
B0401_12,2582,Directed,1458,0401.084a.002,Anon[BQ-103;ass driver],Raba,B4,4,B,N
B0401_4,2582,Directed,1446,0401.027b.002,Anon[BQ-4],Rabba*,Bx,X,B,N
B0402_32,2582,Directed,1438,0402.106b.001,Anon[BM-31],Raba,B4,4,B,N
be_Hoza'e,2582,Directed,1436,0402.097a.002,be Hoza'e,Raba,B4,4,B,Y
B0402_28,2582,Directed,1432,0402.096b.001,Anon[BM-28],Raba,B4,4,B,N
B0402_26,2582,Directed,1427,0402.083a.002,Anon[BM-25],Raba,B4,4,B,N
B0402_25,2582,Directed,1426,0402.083a.001,Anon[BM-24],Raba,B4,4,B,N
B0402_24+,2582,Directed,1425,0402.081b.001,Anon[BM-22; 23],Raba,B4,4,B,N
B0402_13,2582,Directed,1414,0402.051a.002,Anon[BM-14],Raba,B4,4,B,N
1351/2784,2582,Directed,1411,0402.049b.001,Tavot[B5x]; Samuel b. Zutra[B5],Raba,B4,4,B,Y
B0402_11,2582,Directed,1410,0402.049a.003,Anon[BM-12],Raba,B4,4,B,N
B0402_12,2582,Directed,1405,0402.042a.001,Anon[BM-depositary],Raba,B4,4,B,N
B0403_04,2582,Directed,1367,0403.167a.003,bearer of document,Raba,B4,4,B,Y
B0403_81+,2582,Directed,1357,0403.155b.003,son <20yrs; relations; buyers,Raba,B4,4,B,N
B0403_59,2582,Directed,1356,0403.155b.003,son <20yrs; relations; buyers,Raba,B4,4,B,N
B0403_58,2582,Directed,1355,0403.155b.003,son <20yrs; relations; buyers,Raba,B4,4,B,N
B0403_13,2582,Directed,1354,0403.155b.002,Seller not of age,Raba,B4,4,B,N
B0403_73,2582,Directed,1353,0403.153a.003,ההיא דאתאי לקמיה ד; anon(1),Raba,B4,4,B,N
_2398,2582,Directed,1335,0403.144a.001,brothers of Safra,Raba,B4,4,B,Y
B0403_79,2582,Directed,1326,0403.126a.001,relations of brothers,Raba,B4,4,B,N
B0403_45,2582,Directed,1325,0403.126a.001,purchasers,Raba,B4,4,B,N
B0403_44+,2582,Directed,1324,0403.126a.001,brother(s),Raba,B4,4,B,N
B0403_43,2582,Directed,1323,0403.126a.001,Firstborn,Raba,B4,4,B,N
B0403_17+,2582,Directed,1285,0403.040b.001,anon[BB-17; witnesses],Raba,B4,4,B,N
B0403_16+,2582,Directed,1284,0403.040b.001,anon[BB-16],Raba,B4,4,B,N
B0403_10,2582,Directed,1277,0403.029b.001,an external claimant,Raba,B4,4,B,Y
2681,2582,Directed,1275,0403.029b.001,Rami b. Hama[B4],Raba,B4,4,B,Y
B0403_3+,2582,Directed,1261,0403.009a.001,Anon[BB-3; butchers],Raba,B4,4,B,N
2647,2582,Directed,1257,0403.005a.001,Ravina,Raba,B4,4,B,Y
_2647,2582,Directed,1256,0403.005a.001,Ronya,Raba,B4,4,B,Y
Yalta,2594,Directed,1775,0607.020b.003,Yalta,Rabbab b. b. Hana,B3,3,B,Y
B0503-05,2594,Directed,1577,0503.044b.001,anon(slaughtererx Owner of animalx),Rabbah b b. Hana,B3,3,B,N
B0403_47,2594,Directed,1329,0403.126b.002,another who is a firstborn,Rabbah b. b. Hana,B3,3,B,N
B0403_46,2594,Directed,1328,0403.126b.002,"Anon[BB, attests that one is firstborn];",Rabbah b. b. Hana,B3,3,B,N
0406_02,2596,Directed,1873,0406.030b.004,Anon,Raba b. Huna,B3,3,B,X
0406_01,2596,Directed,1872,0406.030b.004,Anon,Raba b. Huna,B3,3,B,X
0303_04,2596,Directed,1796,0303.021b.002,Anon,Rabbah b. Huna,B4,4,B,N
0306_12,2596,Directed,1533,0306.035a.002,Widow,Rabbah b. Rab Huna,B3,3,B,N
Issur,2596,Directed,1396,0402.031b.001,Issur,Rabba b. Huna,B3,3,B,Y
_2518,2596,Directed,1394,0402.028b.001,Father of R. Pappa[P5],Rabba b. Huna,B3,3,B,Y
0301_25,2598,Directed,1643,0301.104a.001,Anon,Rabbah b. Hiyya Qeṭosfa'a,B2,2,B,X
_1090,2627,Directed,1753,0302.104b.001,MIL of Hiyya Arikha+,Rabbah b. Shela,B3,3,B,Y
0301_21,2639,Directed,1638,0301.080b.001,Woman gave birth after twelve,Rabbah Tosfa'ah,B7,7,B,N
daugher_in_law_of_house_of_Eliashib,2647,Directed,1693,0302.054a.002,daughter in law of house house of Eliashib,Rabina,B7,7,B,X
house_of_Eliashib,2647,Directed,1692,0302.054a.002,House of Eliashib,Rabina,B7,7,B,X
0301_01,2647,Directed,1613,0301.037a.001,Anon relatives of betrothed,Rafram,B7,7,B,N
0306_32,2647,Directed,1561,0306.073a.001,[purchaser of land],Rabina,B7,7,B,N
0306_31,2647,Directed,1560,0306.073a.001,Seller of land,Rabina,B7,7,B,N
0306_16+,2647,Directed,1540,0306.040a.001,Slaves,Rabina,B7,7,B,N
B0401_20,2647,Directed,1473,0401.115a.002,Anon[BQ-thief],Rabina,B7,7,B,Y
B0402_18,2647,Directed,1417,0402.067a.001,anon[ovda],Rabina,B7,7,B,N
B0403_9+,2647,Directed,1274,0403.026a.001,Flax grinders,Rabina,B7,7,B,Y
house_of_Marion_br_Rabin+,2647,Directed,1273,0403.026a.001,those of the house of Marion b. Rabin,Rabina,B7,7,B,Y
people_of_the_place,2647,Directed,1265,0403.022a.001,anon[BB-5; people of the place],Rabina,B7,7,B,N
diqula'e,2647,Directed,1264,0403.022a.001,anon[BB-4; basket sellers],Rabina,B7,7,B,N
2681,2938,Directed,1342,0403.151a.002,Rami b. Hama[B4],Sheshet,B3,3,B,Y
0503_02,2690,Directed,1505,0504.036b.001,Priest,Rafram,B6,6,B,Y
0607_06,2725,Directed,1781,0607.036b.001,Woman after childbirth,Shela b. Abina,B2,2,B,N
blind_student,2763,Directed,1860,0307.066a.001,Blind student[x],Samuel,B1,1,B,Y
0203_01,2763,Directed,1842,0203.040a.001,Anon,Samuel,B1,1,B,N
0607_14,2763,Directed,1789,0607.066a.002,Woman bleeding during intercourse,Samuel,B1,1,B,N
0607_05,2763,Directed,1780,0607.025b.002,Woman having given birth,Samuel,B1,1,B,N
0607_04,2763,Directed,1779,0607.025b.001,Woman who had discharged a sac,Samuel,B1,1,B,N
0607_03,2763,Directed,1778,0607.025a.001,Woman having dischanged sac,Samuel,B1,1,B,N
B0302_66,2763,Directed,1701,0302.60a.001,Anon[Ket22],Samuel,B1,1,B,N
_2658,2763,Directed,1684,0302.050b.004,Benai bro of Hiyya b. Abba,Samuel,B1,1,B,Y
B0302_22,2763,Directed,1683,0302.050b.004,Orphans,Samuel,B1,1,B,Y
B0503-14,2763,Directed,1588,0503.053.001,anon(animal owner),Samuel,B1,1,B,N
B0401_3,2763,Directed,1444,0401.027b.001,Anon[BQ-3],Samuel,B1,1,B,N
B0403_50,2763,Directed,1332,0403.143a.001,anon[ovda],Samuel,B1,1,B,N
0301_13,2852,Directed,1629,0301.064b.001,Fourth sister having given birth,Simeon b. Gamaliel,T,0,P,N
B0302_58+,2879,Directed,1723,0302.094b.001,Anon[Ket_xx_orphans],Resh Laqish,P2,2,P,Y
_1570,2879,Directed,1698,0302.054b.001,Relations of Yohanan[P2],Resh Laqish,P2,2,P,Y
B0302_12,2879,Directed,1673,0302.025b.003,Anon[Ket11 priest],Resh Laqish,P2,2,P,N
B0302_11,2879,Directed,1672,0302.025b.003,Anon[Ket10 witness],Resh Laqish,P2,2,P,N
B0503-20,2896,Directed,1603,0503.098a.002,anon,Simeon b. Rabbi,L,0,P,N
B0402_8,2938,Directed,1400,0402.038b.001,Anon[BM-9],Sheshet,B3,3,B,N
anon_or_be_resh_galuta,10125,Directed,1844,0203.076b.001,anonx [be resh galutax],Levi,Bx,X,B,N
B0302_20,20347,Directed,1681,0302.050b.001,anon[Ket17ovda],Judges of Nehardea,x,X,X,N
B0401_1,20347,Directed,1442,0401.012a.001,Anon[BQ-1],Judges of Nehardea,BX,X,B,N
B0402_4,20348,Directed,1383,0402.016a.001,victim of theft,Pumbedita,x,X,X,N
B0402_3,20348,Directed,1382,0402.016a.001,Buyer,Pumbedita,x,X,X,N
B0302_21,21004,Directed,1682,0302.050b.002,anon[Ket18ovda],Hana b. Bizana,B3,3,B,N
B0401_2,21004,Directed,1443,0401.012a.002,Anon[BQ-2],Hana b. Bizana,B3,3,B,N
B0403_42,21052,Directed,1322,0403.111a.002,anon[ovda],Tabla,B3,3,B,N
B0302_46,22004,Directed,1719,del,Abba[P5],Hanina b. Pappi,P3,3,P,Y
0306_34,99999,Directed,1565,0306.078b.001,divorcee/levirate widow,Anonymous,X,X,X,N
B0401_7,_Resh galuta,Directed,1452,0401.058b.001,Anon[BQ-7],Resh Galuta,B3,3,B,N
B0401_6,_Resh galuta,Directed,1451,0401.058b.001,Anon[BQ-6],Resh Galuta,B3,3,B,N
0607_02,_1088+,Directed,1776,0607.024a.001,Women who had miscarried,Sons of Hiyya,P2,2,P,N
0607_10,_1885,Directed,1786,0607.52a.001,Girl(s) seeking to renounce marriage,disciples of Hanina,P3,3,P,N
0301_11,oshaya_b_r,Directed,1627,0301.046b.001,convert [male],Oshaya b. Rabbi,Px,X,B,N
0301_11,hiyya_b_r,Directed,1626,0301.046b.001,convert [male],Hiyya b. Rabbi,Px,X,P,N
0301_14,be_midrasha,Directed,1630,0301.065b.001,Wife,be-midrasha,X,X,X,N
0301_15,be_midrasha,Directed,1631,0301.065b.001,husband,be-midrasha,X,X,X,N
0607_09,2004_fellows,Directed,1784,0607.052a.001,Girl(s) seeking to renounce marriage,fellows of Kahana,Bx,X,B,N
B0403_25,2032/2423,Directed,1298,0403.054a.001,"anon[BB-25, man]",Lev OR Mar Uqba,xx,X,X,N
B0403_24,2032/2423,Directed,1297,0403.054a.001,"anon[BB-24, Woman]",Lev OR Mar Uqba,xx,X,X,N
B0503-08,Hananiah_T,Directed,1580,0503.047b.001,anon(slaughterer or animal owner),Hananiah,T,0,P,N
B0503-10,Rabbanan terofa'e,Directed,1583,0503.048b.002,anon(slaughterer or animal owner),Rabbanan Terofa'e,x,X,X,N
sorba_derabbanan_02,be_midrasha,Directed,1765,0211.017a.001,rabbinic disciple,be-midrasha,Bx,X,B,Y
